"RPAUB";"Chief Universal Projektor Mount 22,5kg black";118.80;142.56
"RPAUS";"Chief Universal Projektor Mount 22,5kg silver";118.80;142.56
"RPAUW";"Chief Universal Projektor Mount 22,5kg white";118.80;142.56
"RPMAUB";"Chief Micro Adjustable Projektor Mount 22,5kg black";202.80;243.36
"RPMAUS";"Chief Micro Adjustable Projektor Mount 22,5kg silver";202.80;243.36
"RPMAUW";"Chief Micro Adjustable Projektor Mount 22,5kg white";202.80;243.36
"RSAUB";"Chief Universal Mini Projektor Mount 11,3kg black";94.80;113.76
"RSAUS";"Chief Universal Mini Projektor Mount 11,3kg silver";94.80;113.76
"RSAUW";"Chief Universal Mini Projektor Mount11,3kg white";94.80;113.76
"RSMAUB";"Chief Micro Adjustable Mini Projektor Mount 11,3kg black";154.80;185.76
"RSMAUS";"Chief Micro Adjustable Mini Projektor Mount 11,3kg silver";154.80;185.76
"RSMAUW";"Chief Micro Adjustable Mini Projektor Mount 11,3kg white";154.80;185.76
"CMA101B";"Chief Ceiling plate Designer black";16.80;20.16
"CMA101S";"Chief Ceiling plate Designer silver";16.80;20.16
"CMA101W";"Chief Ceiling plate Designer white";16.80;20.16
"CMA110B";"Chief Ceiling plate Flat black";39.60;47.52
"CMA110S";"Chief Ceiling plate Flat silver";39.60;47.52
"CMA170B";"Chief In-Ceiling Storage Enclosure black";190.80;228.96
"CMA170W";"Chief In-Ceiling Storage Enclosure White";190.80;228.96
"CMA300B";"Chief Ceiling plate Pole Clamp black";144.00;172.8
"CMA330B";"Chief Ceiling plate Offset black";43.20;51.84
"CMA345B";"";134.40;161.28
"CMA362B";"Chief Ceiling plate C- Clamp black";88.80;106.56
"CMA365B";"Chief Ceiling plate Truss  black";43.20;51.84
"CMA366B";"Chief Ceiling plate Spanning Adapter  black";102.00;122.4
"CMA395B";"";46.80;56.16
"CMA395W";"Chief Ceiling plate Angled white";46.80;56.16
"CMS445";"Chief Ceiling plate Suspended Replacement white";152.40;182.88
"CMS115B";"Chief Ceiling plate Speed Connect black";16.80;20.16
"CMS115S";"Chief Ceiling plate Speed Connect silver";16.80;20.16
"CMS115W";"Chief Ceiling plate Speed Connect white";16.80;20.16
"CMS391B";"Chief Ceiling plate Lateral shift black";70.80;84.96
"CMS440";"Chief Ceiling plate CMS440 white";97.20;116.64
"CMS003B";"Chief Rohr Fix 76mm black";8.40;10.08
"CMS003S";"Chief Rohr Fix 76mm silver";8.40;10.08
"CMS003W";"Chief Rohr Fix 76mm white";8.40;10.08
"CMS006B";"Chief Rohr Fix 152 mm black";13.20;15.84
"CMS006S";"Chief Rohr Fix 152 mm silver";13.20;15.84
"CMS006W";"Chief Rohr Fix 152 mm white";13.20;15.84
"CMS009B";"Chief Rohr Fix 229 mm black";24.00;28.8
"CMS009S";"Chief Rohr Fix 229 mm silver";24.00;28.8
"CMS009W";"Chief Rohr Fix 229 mm white";24.00;28.8
"CMS012B";"Chief Rohr Fix 305 mm black";26.40;31.68
"CMS012S";"Chief Rohr Fix 305 mm silver";26.40;31.68
"CMS012W";"Chief Rohr Fix 305 mm white";26.40;31.68
"CMS018B";"Chief Rohr Fix 457 mm black";28.80;34.56
"CMS018S";"Chief Rohr Fix 457 mm silver";28.80;34.56
"CMS018W";"Chief Rohr Fix 457 mm white";28.80;34.56
"CMS024B";"Chief Rohr Fix 0,6 m black";31.20;37.44
"CMS024S";"Chief Rohr Fix 0,6 m silver";31.20;37.44
"CMS024W";"Chief Rohr Fix 0,6 m white";31.20;37.44
"CMS036B";"Chief Rohr Fix 0,9 m black";37.20;44.64
"CMS036S";"Chief Rohr Fix 0,9 m silver";37.20;44.64
"CMS036W";"Chief Rohr Fix 0,9 m white";37.20;44.64
"CMS048B";"Chief Rohr Fix 1,2 m black";52.80;63.36
"CMS048S";"Chief Rohr Fix 1,2 m silver";52.80;63.36
"CMS048W";"Chief Rohr Fix 1,2 m white";52.80;63.36
"CMS060B";"Chief Rohr Fix 1,5 m black";64.80;77.76
"CMS060S";"Chief Rohr Fix 1,5 m silver";64.80;77.76
"CMS060W";"Chief Rohr Fix 1,5 m white";64.80;77.76
"CMS072B";"Chief Rohr Fix 1,8 m black";76.80;92.16
"CMS072S";"Chief Rohr Fix 1,8 m silver";76.80;92.16
"CMS072W";"Chief Rohr Fix 1,8 m white";76.80;92.16
"CMS0203B";"Chief Rohr Variabel 0,6-0,9 m black";111.60;133.92
"CMS0203S";"Chief Rohr Variabel 0,6-0,9 m silver";111.60;133.92
"CMS0203W";"Chief Rohr Variabel 0,6-0,9 m white";111.60;133.92
"CMS0305B";"Chief Rohr Variabel 0,9-1,5 m black";116.40;139.68
"CMS0305S";"Chief Rohr Variabel 0,9-1,5 m silver";116.40;139.68
"CMS0305W";"Chief Rohr Variabel 0,9-1,5 m white";116.40;139.68
"CMS0406B";"Chief Rohr Variabel 1,2-1,8 m black";138.00;165.6
